timestamp,event,mobile,details
2026-08-19T15:04:51.475346,PAYMENT_CREATED,9199,DD2608190001
2026-08-19T15:04:51.482360,PAYMENT_CREATED,9199,DD2608190002
2026-08-26T16:20:27.487706,IMAGE_FETCH_FAILED,,iskcon_bangalore:invalid
2026-08-26T16:20:28.685430,IMAGE_FETCH_FAILED,,iskcon_vrindavan:no-candidate
2026-08-26T16:20:31.166360,IMAGE_FETCH_FAILED,,mayapur:invalid
2026-08-26T16:20:31.166627,IMAGE_FALLBACK_AVAILABLE,,docs/images/fallback.jpg:All image sources failed for 2026-08-26
2026-08-26T16:26:58.165477,IMAGE_FETCH_FAILED,,iskcon_vrindavan:no-candidate
2026-08-26T16:27:00.988286,IMAGE_FETCH_SUCCESS,,mayapur:17662795b541bf2376b194f19748173fb868de1efd94e9d443ceff9e53ab623c
2026-08-26T16:47:28.134715,IMAGE_FETCH_FAILED,,iskcon_vrindavan:no-candidate
2026-08-26T16:47:29.538667,IMAGE_FETCH_SUCCESS,,mayapur:17662795b541bf2376b194f19748173fb868de1efd94e9d443ceff9e53ab623c
2026-08-26T17:18:04.599992,IMAGE_FETCH_SUCCESS,,iskcon_vrindavan:678ff32d253f863542e0932ee049371c2ea9d0348e8732f4e6ddb7fd8c9db387
2026-08-26T18:54:39.806653,IMAGE_FETCH_FAILED,,swaminarayan:no-candidate
2026-08-26T18:54:42.081633,IMAGE_FETCH_FAILED,,iskcon_bangalore:no-candidate
2026-08-26T18:54:42.082240,IMAGE_FETCH_SUCCESS,,iskcon_tirupati:954bf074994ba2e0dd30033f498bfde67dde78e878319a95b4a52f239fa8abb0
